ice_source,region,year,mean,sd
Glaciers,region_1,2100,1.808,0.818
Glaciers,region_2,2100,0.200,0.049
Glaciers,region_3,2100,1.786,0.911
Glaciers,region_4,2100,0.807,0.410
Glaciers,region_5,2100,1.171,0.665
Glaciers,region_6,2100,0.344,0.216
Glaciers,region_7,2100,1.179,0.523
Glaciers,region_8,2100,0.041,0.015
Glaciers,region_9,2100,1.568,0.649
Glaciers,region_10,2100,0.029,0.013
Glaciers,region_11,2100,0.025,0.006
Glaciers,region_12,2100,0.012,0.002
Glaciers,region_13,2100,0.586,0.194
Glaciers,region_14,2100,0.416,0.147
Glaciers,region_15,2100,0.155,0.062
Glaciers,region_16,2100,0.017,0.007
Glaciers,region_17,2100,0.471,0.213
Glaciers,region_18,2100,0.008,0.003
Glaciers,region_19,2100,1.764,0.813
Glaciers,ALL,2100,12.387,1.903
